,ID,Mac,SSID,Time,Frequncy,Signal,Lat,Lon,Alt
185,model=Lenovo PB2-690Y_device=PB2PRO,d0:d4:12:64:05:12,shmulik,12/1/2017 10:58,11,-80,32.17004926,34.81351135,36.0
186,model=SM-G950F_device=dreamlte,00:24:01:18:99:57,dlink,12/1/2017 10:58,6,-67,32.17010133,34.81351418,29.07004588
187,model=SM-G950F_device=dreamlte,00:21:04:e7:95:da,orange,12/1/2017 10:58,1,-74,32.17019246096641,34.81352784308191,29.30709329882734
188,model=SM-G950F_device=dreamlte,62:19:8f:46:9f:bf,Bezeq Free,12/1/2017 10:58,6,-94,32.17010133,34.81351418,29.07004588
189,model=Lenovo PB2-690Y_device=PB2PRO,28:f3:66:9d:dc:cb,Pantum-AP-9DDCCB,12/1/2017 10:58,11,-84,32.17021581,34.81353649,37.0
190,model=Lenovo PB2-690Y_device=PB2PRO,e8:cc:18:ac:1a:52,Daizad,12/1/2017 10:58,7,-72,32.17035534206896,34.8135713562069,33.57258845572414
191,model=Lenovo PB2-690Y_device=PB2PRO,16:0c:c3:ee:27:39,Is,12/1/2017 10:58,6,-83,32.17049911024534,34.81357875960022,33.4800246093829
192,model=SM-G950F_device=dreamlte,00:78:9e:fa:6f:c3,HOTBOX-F028,12/1/2017 10:58,1,-80,32.1704120426422,34.81356405379817,33.08982997348624
193,model=SM-G950F_device=dreamlte,c4:12:f5:f4:82:42,Beni,12/1/2017 10:59,9,-71,32.17090668783484,34.81364832095346,33.09743092852763
194,model=Lenovo PB2-690Y_device=PB2PRO,18:1e:78:86:03:15,HOTBOX-F028,12/1/2017 10:58,1,-61,32.17051569590818,34.81357943147099,35.32725112814046
195,model=Lenovo PB2-690Y_device=PB2PRO,c0:ac:54:f8:6c:8a,amnon,12/1/2017 10:59,6,-78,32.17061762442052,34.813596590331315,39.007482475679566
196,model=Lenovo PB2-690Y_device=PB2PRO,b0:b2:8f:36:a2:b3,yotam17,12/1/2017 10:58,10,-91,32.17053789,34.81359888,34.247660315
197,model=SM-G950F_device=dreamlte,fc:75:16:2e:5a:47,My_Internet,12/1/2017 10:58,10,-77,32.17106823299483,34.81346885813339,36.844726590106745
198,model=Lenovo PB2-690Y_device=PB2PRO,c0:ac:54:f7:42:60,HOTBOX,12/1/2017 10:58,1,-82,32.1708417333541,34.81364401699201,33.28004632743446
199,model=SM-G950F_device=dreamlte,c0:ac:54:f7:3c:c2,HOTBOX111,12/1/2017 10:58,1,-87,32.170964760614595,34.813630519661075,34.7709990571756
200,model=Lenovo PB2-690Y_device=PB2PRO,04:a1:51:e0:5f:ee,MNP_HOME_2.4GHz_1,12/1/2017 10:58,6,-81,32.171057732801394,34.813513637313214,34.701425986728566
201,model=Lenovo PB2-690Y_device=PB2PRO,00:12:2a:d2:0c:38,test012,12/1/2017 10:58,1,-87,32.17105808914647,34.81351327325344,34.49692458761576
202,model=Lenovo PB2-690Y_device=PB2PRO,a0:4f:d4:45:1f:a1,nurit,12/1/2017 10:58,1,-74,32.171081995138884,34.81320481005503,36.00481144832008
203,model=SM-G950F_device=dreamlte,d8:5d:4c:d1:4d:b0,Yotam _ work _ room,12/1/2017 10:58,9,-68,32.1710681133213,34.81331975394185,33.91672107461703
204,model=SM-G950F_device=dreamlte,00:26:5a:24:f4:f0,Yotam_Shir,12/1/2017 10:59,8,-87,32.1710901258587,34.81334518429064,35.024063793796664
205,model=SM-G950F_device=dreamlte,90:8d:78:54:22:a2,tal,12/1/2017 10:58,1,-79,32.17108893819366,34.8131610918771,32.698788219076576
206,model=Lenovo PB2-690Y_device=PB2PRO,90:8d:78:54:22:a1,tal2,12/1/2017 10:59,60,-78,32.17109291302055,34.81311277352694,36.79893073257186
207,model=Lenovo PB2-690Y_device=PB2PRO,14:cc:20:09:3c:b9,sirocco_2.4o,12/1/2017 10:59,11,-83,32.17109863472397,34.81304547154555,36.567230130813996
208,model=SM-G950F_device=dreamlte,14:ae:db:b7:ab:ad,44870715,12/1/2017 10:58,6,-81,32.17110149345205,34.813013639998545,33.69249757426012
209,model=Lenovo PB2-690Y_device=PB2PRO,b0:5a:da:fa:44:76,DIRECT-75-HP DeskJet 4670 series,12/1/2017 11:06,6,-85,32.17127494574422,34.81300613419089,29.961117450233207
210,model=Lenovo PB2-690Y_device=PB2PRO,7c:b7:33:ea:b8:ff,yotam17,12/1/2017 10:58,10,-93,32.17110218,34.81293682,39.0
211,model=SM-G950F_device=dreamlte,4c:60:de:51:8b:ca,Laufer-wifi,12/1/2017 11:00,11,-89,32.1707787806892,34.81272277752022,34.21889968462764
