WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
48:ee:0c:3f:ab:1e,Rupin,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:04,4,-95,32.3455962781866,34.9079557679982,36.5412901787539,12,WIFI
f8:e9:03:0f:80:0c,012_5.0,[ESS],2017-11-03 22:35:04,60,-91,32.3455962781866,34.9079557679982,36.5412901787539,12,WIFI
f8:e9:03:0f:80:0b,012-YELLOW,[ESS],2017-11-03 22:35:04,1,-91,32.3455962781866,34.9079557679982,36.5412901787539,12,WIFI
32:07:4d:e1:da:2f,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80],2017-11-03 22:35:06,11,-87,32.3453252189185,34.9079243402095,36.3006942814453,16,WIFI
00:1d:aa:0e:e2:40,Rupin-H,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:06,8,-87,32.3453252189185,34.9079243402095,36.3006942814453,16,WIFI
00:1d:aa:0e:e2:40,Rupin-H,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:10,8,-79,32.3450005826436,34.9078896653206,36.2276113291073,16,WIFI
74:3e:2b:1f:ac:58,inpact,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:10,6,-88,32.3450005826436,34.9078896653206,36.2276113291073,16,WIFI
74:3e:2b:1f:74:78,inpact,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:10,1,-90,32.3450005826436,34.9078896653206,36.2276113291073,16,WIFI
00:1d:aa:f2:9a:a0,test,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-03 22:35:10,6,-92,32.3450005826436,34.9078896653206,36.2276113291073,16,WIFI
42502_33611_4061631,GOLAN T,HSDPA;il,2017-11-03 22:35:10,0,-71,32.3450005826436,34.9078896653206,36.2276113291073,16,GSM
74:3e:2b:1f:74:7c,inpact,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:13,36,-88,32.3449004163704,34.9078774922426,36.2153924959342,16,WIFI
42502_33611_4061632,GOLAN T,HSDPA;il,2017-11-03 22:35:13,0,-71,32.3449004163704,34.9078774922426,36.2153924959342,16,GSM
74:3e:2b:1f:74:78,inpact,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:15,1,-81,32.3448804961241,34.9078763950203,36.1987984826758,24,WIFI
00:1e:42:14:4f:69,Teltonika_Router,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-11-03 22:35:15,8,-94,32.3448804961241,34.9078763950203,36.1987984826758,24,WIFI
f8:e9:03:0f:80:0b,012-YELLOW,[ESS],2017-11-03 22:35:39,1,-84,32.3446137536346,34.9078170299793,35.7837121489404,12,WIFI
42502_33611_4061632,GOLAN T,HSDPA;il,2017-11-03 22:35:45,0,-75,32.3438874339822,34.907909585497,36.8294005420695,16,GSM
00:18:25:17:1f:d0,kfar yedidia 3,[WPA2-PSK-CCMP][ESS],2017-11-03 22:35:51,1,-90,32.3428599787798,34.907763981826,30.1281117119357,16,WIFI
42502_33611_4061632,GOLAN T,HSDPA;il,2017-11-03 22:35:51,0,-79,32.3428599787798,34.907763981826,30.1281117119357,16,GSM
